Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Payment Type,Payment_Cash,Payment_Stock,Payment_Debt,TV/EBITDA,Target Ticker,Acquirer Ticker,Currency of Deal,Current/Completed Total Value,Deal Attributes,Current Target SIC Code,Current Acquirer SIC Code,Target Total Assets,Acquirer Total Assets,Acquirer Current Market Cap,Acquirer Price Earnings Ratio (P/E),Target Trailg 12Mth Dividend per Shar,Acquirer Trailg 12Mth Dividend per Shar,Target Dividend Payout Ratio,Acquirer Dividend Payout Ratio,Target Market Value of Equity,Acquirer Market Value of Equity,Acquirer Total Return Year To Date Pct,Target Trailg 12Mth Cashflow Net Inc,Acquirer Trailg 12Mth Cashflow Net Inc,Target R & D Expenditures,Acquirer R & D Expenditures,Target Inventories,Acquirer Inventories,Acquirer - Price Change 1 Year Percent (CHG_PCT_1Y),Acquirer - Price Change 5 Day Percent (CHG_PCT_5D),Acquirer Trailing 12 Mth COGS,Target Trailing 12 Mth COGS,Acquirer Trailing 12 month EBITDA per Share,Target Trailing 12 month EBITDA per Share,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Return on Common Equity,Acquirer Return on Common Equity,Target EBITDA(Earn Bef Int Dep & Amo),Acquirer EBITDA(Earn Bef Int Dep & Amo),Target Operating Margin,Acquirer Operating Margin,Target Total Debt to Total Assets,Acquirer Total Debt to Total Assets,Target Total Debt to Total Equity,Acquirer Total Debt to Total Equity,Target EBIT to Total Interest Expense,Acquirer EBIT to Total Interest Expense,Target Current Ratio,Acquirer Current Ratio,Target Financial Leverage,Acquirer Financial Leverage,Target GeoGrwth - Cash Flow per Share,Acquirer GeoGrwth - Cash Flow per Share,Target Net Income/Net Profit (Losses),Acquirer Net Income/Net Profit (Losses),Target Net Revenue Growth,Acquirer Net Revenue Growth,Target Asset Growth,Acquirer Asset Growth,Target Geometric Growth-EBITDA Tot Mkt VaL,Acquirer Geometric Growth-EBITDA Tot Mkt VaL
1996-10-28,Mark Twain Bancshares Inc,Mercantile Bancorporation Inc,829.26,Stock,0,1,0,,2066Q US,390297Q US,USD,,Company Takeover,,6021,3133.26,35800.2,,,1.24,1.3,37.7318,50.6545,,9035.12,,53.268,391.862,,,,,,,,,,,269.448,2885.98,,13.143,,,49.9701,40.9566,6.24355,18.8574,62.7766,219.632,,,,,10.385,11.8457,,-2.47791,53.268,375.303,1.51551,9.31616,5.56001,7.40422,,
2021-12-06,Del Taco Restaurants Inc,Jack in the Box Inc,825.03,Cash,1,0,0,8.02,2564126D US,JACK US,USD,825.03,Company Takeover,5812,5812,727.856,2593.42,289.347,4.5281,0.16,0.44,102.377,,454.235,437.248,-18.9446,5.721,-116.863,,,3.091,3.958,-57.7331,-12.0052,489.522,396.906,0.758997,1.9641,527.355,1465.31,2.70833,,71.944,291.587,2.28461,-1.23318,50.9013,120.413,176.658,,4.16454,-0.224177,0.163064,0.511752,3.49173,,-3.29135,6.54384,5.721,-80.719,,,-2.60307,-5.19837,,5.56154
2000-10-25,Fiduciary Trust Co International,Franklin Resources Inc,824.95,Stock,0,1,0,,FCNY US,BEN US,USD,824.95,Company Takeover,6282,6282,,32368.3,13612.8,13.524,,1.29,,145.94,,12422.2,9.52282,,616.8,,,,,31.9899,-3.24484,,,2.36285,,,8770.7,,4.9071,,1348.7,,6.88771,,10.3886,,23.699,,,,,,2.63699,,-1.29537,,524.9,,3.45247,,-0.296324,,
2000-07-06,Stone & Webster LLC,CB&I Group Inc,823.09,Cash and Stock,1,1,0,,SWBIQ US,SHAW US,USD,,Company Takeover,8711,3490,,5007.45,,,,,,,206.428,2993.95,,,219.441,,0.090424,,273.784,,,5437.15,,4.65503,-3.4753,,6008.44,24.6438,22.0013,,309.335,,3.91019,,0.313273,,1.58058,,5.00428,,1.01927,,5.65288,,-19.73,,198.916,,,,-8.74026,,
1999-05-18,Varlen Corp,Amsted Industries Inc,821.23,Cash and Debt,1,0,1,7.94,VRLN US,4936C US,USD,821.23,Company Takeover,3743,3321,475.524,,,,0.196,,7.98215,,476.56,,,44.728,,10.9,,60.625,,,,,499.372,,6.11221,646.672,,19.3467,,98.363,,12.0577,,19.9576,,39.3919,,10.6682,,1.72189,,2.03457,,17.4418,,41.242,,,,13.4629,,-0.881073,
1999-06-02,Banknorth Group Inc/Brattleboro VT,Banknorth Group Inc,821.12,Stock,0,1,0,8.65,3024Q US,540513Q US,USD,,Company Takeover,6021,6022,4588.74,28687.8,,,0.72,0.79,30.7467,,627.207,,,54.536,304.643,,,,,,,,,,,370.723,1596.8,16.4622,,,,34.2692,45.4704,12.616,20.8824,155.917,,,,,,13.571,,,,54.536,304.643,11.4857,,4.22121,,,
2015-06-15,Niska Gas Storage Partners LLC,Brookfield Infrastructure Partners LP,818.38,Cash,1,0,0,22.79,NKA US,BIP US,USD,818.38,"Company Takeover, Private Equity",4922,4911,991.897,128150,25362.3,16.8204,0.35,1.72,,102.642,136.38,15983.9,12.8138,-103.331,1091,,,41.268,454,25.1854,-0.779566,16876,,21.3554,0.356027,54.345,23100,-76.2044,14.3287,-5.454,9822,-115.722,25.0996,73.6642,50.3301,906.104,181.48,-1.20244,1.49897,0.659136,,8.08402,24.1306,13.8217,17.7902,-103.331,1091,,,-14.5623,22.5261,,-10.8413
2019-04-22,KeyW Holding Corp/The,Jacobs Engineering Group Inc,817.97,Cash,1,0,0,25.43,KEYW US,9990213D US,USD,817.97,"Company Takeover, Tender Offer",7373,1600,675.981,14632.6,,,,0.88,,22.8595,431.534,16125.8,,-22.931,461.977,,,24.111,,,,11309.1,366.122,10.035,0.644758,506.84,14092.6,-7.7134,7.64472,31.804,1086.56,1.56183,4.88262,43.0432,26.1345,100.253,57.6574,0.338189,9.46295,1.64445,1.33707,2.27452,2.29564,-8.71708,,-22.28,477.03,,,-1.11541,18.4409,-7.53824,
2017-07-26,USAmeriBancorp Inc,Valley National Bancorp,816.00,Stock,0,1,0,,USAB US,VLY US,USD,,Company Takeover,,6021,,64132.7,6945.6,12.3207,,0.44,,43.2759,,6501.3,7.49144,,597.983,,,,,30.4167,-2.40948,,,,,,3494.61,,7.82987,,,,36.7204,,5.34876,,43.9349,,,,,,8.71221,,30.9905,,597.983,,9.31147,,2.626,,
2007-02-20,Smart & Final LLC,Apollo Asset Management Inc,815.69,Cash,1,0,0,10.46,8272573Q US,9990822D US,USD,815.69,"Company Takeover, Private Equity, PE Buyout",5141,6799,,,,,,,,,695.195,,,,,,,,,,,,,,2.28935,,,6.11921,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01,Community Banks Inc/PA,Susquehanna Bancshares Inc,813.78,Cash or Stock,1,1,0,,CMTY US,SUSQ US,USD,812.98,Company Takeover,6022,6021,,18661.4,,,,0.36,,43.7472,739.537,2575.87,,,128.557,,,,,,,,,,,,829,8.04903,4.60624,,,,27.8473,,9.54614,,64.6874,,,,,,6.78695,,10.7013,,144.448,,-4.8617,,1.01714,,
2012-07-23,GeoEye Inc,DigitalGlobe Inc,813.75,Cash or Stock,1,1,0,4.75,GEOY US,DGI US,USD,1232.21,Company Takeover,4899,4899,1334.59,3009.9,,,,,,,596.2,2074.59,,56.271,6.2,,,,,,,222.8,123.663,6.24311,7.28859,356.407,725.4,8.97587,0.117642,170.014,387.8,27.5455,14.075,38.2905,42.8353,100.736,109.924,1.84753,1.5423,2.48948,1.18796,2.73918,2.44655,7.09517,8.96758,56.612,26.5,,,5.1612,3.31937,-5.27343,-2.03083
2017-01-18,CoLucid Pharmaceuticals Inc,Eli Lilly & Co,813.37,Cash,1,0,0,,CLCD US,LLY US,USD,813.37,Company Takeover,2834,2834,65.3379,112476,942499,38.1012,,6,,26.0843,733.872,1.01536e+06,-6.55612,-53.2233,20640,22.2441,13337,,13744,7.61305,-4.04452,11052,,31.5198,,,65179,-66.9213,101.151,-30.8818,28299,,40.3535,,38.9994,,165.31,,29.3877,12.0299,1.57911,,4.68525,,21.2122,-30.7395,20640,,,22180.4,42.8902,,8.22552
1999-05-17,Wyman-Gordon Co,Precision Castparts Corp,813.30,Cash and Debt,1,0,1,,WYG US,PCP US,USD,813.30,"Company Takeover, Tender Offer",3462,3320,,19428,,,,0.12,,1.10032,663.393,31511.8,,,1322,,,,3640,,,6665,,19.0957,2.9572,,10005,14.7532,11.4419,,2929,,26.027,,23.6051,,41.8545,,37.7391,,2.11249,,1.70352,,13.0414,,1530,,,,4.53029,,0.906924
2000-02-17,Shorewood Packaging Corp,International Paper Co,810.45,Cash,1,0,0,9.51,SWD US,IP US,USD,810.45,Company Takeover,2671,2621,,37964,21769.1,,,1.85,,117.594,424.312,20799.4,5.88958,,-3516,,,,2012,-25.6012,-6.31531,16637,,-0.0162997,3.14489,,23634,20.9714,-30.5739,,-126,,-12.7274,,32.7784,,83.928,,-7.65394,,1.2794,,2.64191,,-15.3839,,-3516,,,,66.5088,,
2014-09-08,Annie's Inc,General Mills Inc,809.79,Cash,1,0,0,35.53,BNNY US,GIS US,USD,809.79,"Company Takeover, Tender Offer",2099,2040,103.641,33071.1,23813.8,12.1392,,2.42,,57.9819,578.166,25788.9,-3.11209,12.249,2536.8,2.3,256.6,18.489,1910.8,-28.2423,-2.09159,12438.3,134.806,8.08181,1.34557,204.104,19486.6,15.8104,27.3995,27.586,3989.5,12.7974,16.9593,,46.254,,166.066,77.9701,5.90565,3.46219,0.671439,1.28789,3.47071,-53.5658,-2.73471,15.289,2295.2,,,15.7547,5.08804,,-4.57425
2000-06-26,HomeGrocer.com Inc,Webvan Group Inc,808.66,Stock,0,1,0,,HOMG US,WBVNQ US,USD,504.86,Company Takeover,5411,5963,146.929,1521.54,,,,,,,772.265,75.2575,,-140.87,-612.446,,25.516,2.555,13.804,,,174.66,49.5845,-0.773865,,21.648,178.456,,-67.2436,-76.275,-288.836,-366.205,-245.652,14.8718,3.68969,19.4842,4.13093,-125.835,-266.008,5.02083,1.95263,1.32792,1.10326,,,-78.036,-453.289,,,4029.54,100.785,,
2011-03-25,Encore Energy Partners LP,Vanguard Natural Resources LLC,807.88,Stock,0,1,0,11.81,ENP US,VNRSQ US,USD,718.51,"Company Takeover, Additional Stake Purchase",1311,2911,653.562,1309.29,,,1.94,,294.376,,860.927,,,88.969,699.378,,,,,,,305.392,107.93,-0.782766,2.0318,183.745,344.608,22.8079,,109.911,-652.165,32.2899,-232.715,36.0685,135.098,67.5518,,4.50467,-8.40915,1.08276,0.0820884,1.81891,,,-16.8069,32.07,-815.089,,,-9.18348,-51.4286,,
2007-04-20,Interpool Inc,Fortress Investment Group LLC,806.48,Cash,1,0,0,3.93,IPX US,3867693Z US,USD,806.48,"Company Takeover, Private Equity, PE Buyout",,6282,105.035,2201.37,,,,,,107.859,,,,-35.3487,186.33,12.749,,,,,,,,,,,1163.81,-49.1693,33.0316,-36.3148,270.491,,20.559,3.74597,8.30563,4.25618,20.5958,-138.059,,6.98545,,1.11606,3.94445,,5.37034,-35.3487,94.442,,-4.64451,89.4711,-3.24826,,
2009-10-19,iPCS Inc,Sprint Communications Inc,802.37,Cash,1,0,0,8.63,IPCS US,0848680D US,USD,,"Company Takeover, Tender Offer",4812,4813,,85123,,,,,,,288.911,,,,-1206,,,,1064,,,14938,,,5.70427,,33347,,,,9914,,5.28983,,48.0646,,217.535,,0.707014,,1.13317,,4.25223,,,,-1206,,,,7.78474,,
2010-11-17,ATI Ladish LLC,ATI Inc,801.67,Cash and Stock,1,1,0,14.66,LDSH US,ATI US,USD,939.42,Company Takeover,3460,3317,485.568,5099.6,21677,52.1484,,,,,858.418,15897.6,38.5587,29.498,404.3,3.3,23.2,100.693,1403.2,174.269,-1.1612,3580.4,347.503,5.84267,4.37093,403.132,4587.4,12.0078,22.1237,63.352,828.4,11.655,13.9709,17.358,38.2148,33.3832,101.675,8.30711,5.28359,3.3515,2.66322,2.00016,2.8264,24.1142,27.4237,25.375,404.3,,,3.41928,-2.50449,3.24109,
2015-09-29,Rentrak Corp,comScore Inc,800.92,Stock,0,1,0,146.74,RENT US,SCOR US,USD,625.89,Company Takeover,7389,7389,240,430.247,95.2073,,,,,,136.138,43.7867,-1.84615,10.6,-9.888,35.7,33.066,,,10,-7.13246,212.312,213.6,6.16909,-1.90607,306.2,356.047,,,19.3,-27.764,-15.5127,-16.7138,158.083,14.9033,,32.1881,,,1.98101,0.822953,,,,,-69.9,-60.248,,,-13.8241,-12.4259,,
2016-06-16,Elizabeth Arden Inc,Revlon Inc,800.66,Cash,1,0,0,,RDEN US,REVRQ US,USD,800.66,Company Takeover,3140,2844,799.539,2489.8,,,,,,,412.103,24.2629,,-71.785,-673.9,,30.1,241.409,469.3,,,835.7,537.068,3.38224,0.0312223,966.733,1980.4,-77.4835,,0.918,214.5,-4.23395,4.03454,52.7535,33.0549,375.852,,,0.315935,1.58686,0.961508,8.4013,,,,-71.785,-673.9,,,-1.68281,-4.31574,,
2005-07-28,SS&C Technologies Inc,Carlyle Group Inc/The,800.54,Cash,1,0,0,18.75,1001179Q US,CG US,USD,800.54,"Company Takeover, Private Equity, PE Buyout",7372,6282,,29116,18008,17.7905,,1.4,,62.2703,,21125.9,-14.3749,,808.7,,,,,4.47483,-0.628807,,,5.74117,,,4897.7,,12.7716,,1961.2,,30.0173,,12.1511,,49.1307,,,,,,4.12346,,,,808.7,,-12.5205,,26.0242,,
2006-05-16,Progress Rail Services Inc,Caterpillar Inc,800.00,Cash and Stock,1,1,0,,PRL US,CAT US,USD,,Company Takeover,,3531,,98585,333641,37.5334,,5.84,,30.896,,266549,26.0809,,8884,,2148,,18135,116.353,-5.95525,46111,,28.5495,,,67589,,43.5394,,13605,,16.4982,,44.6904,,206.67,,22.2131,,1.43566,,4.56637,,16.5206,,8884,,,,12.3297,,3.4169
1998-10-09,Vanstar Corp,InaCom Corp,796.87,Stock,0,1,0,7.27,2738Q US,ICPXQ US,USD,,Company Takeover,,5734,1095.76,1103.54,,,,,,,489.755,447.202,,-28.225,-124.197,,,470.474,267.775,,,,,2.35268,1.49098,2838.8,4258.42,-16.4497,-29.0967,128.511,151.835,3.5713,2.49111,28.8829,18.2594,152.196,47.3965,,3.13991,1.23862,1.59281,4.94615,2.75081,,,35.947,42.584,,,44.4374,14.8875,,-18.94
2007-07-24,Republic Property Trust,Liberty Property Trust,796.67,Cash,1,0,0,25.47,RPB US,LPT US,USD,796.67,Company Takeover,6798,6798,596.468,6934.39,,,0.662,1.63,,153.944,319.725,8097.59,,-11.118,424.131,,,,,,,,,2.83846,1.19983,66.678,704.889,-5.91646,12.0015,32.297,323.93,19.0843,21.0125,58.7012,44.6001,164.912,90.848,0.736955,1.29754,,,2.90742,2.0841,,1.41463,-4.852,479.607,,,14.6179,7.68099,,7.30245
2021-11-04,NeoPhotonics Corp,Lumentum Holdings Inc,796.35,Cash,1,0,0,,NPTN US,LITE US,USD,796.35,Company Takeover,3674,3669,305.567,4218.7,51046.7,241.904,,,,,842.625,27901,95.8056,-6.592,251.6,56.486,303.9,52.896,470.1,992.868,5.58865,1401.2,243.894,3.87344,0.277128,290.289,1645,-4.25814,29.2745,-11.142,89.1,-13.0318,-10.9483,14.5559,61.8247,29.078,229.858,-39.0402,-8.11261,2.1709,4.37195,1.8875,3.89608,,-23.3269,-40.719,25.9,,,-5.59129,7.29418,,
2009-06-04,Wind River Systems Inc,Intel Corp,792.10,Cash,1,0,0,33.57,3499164Q US,INTC US,USD,792.10,"Company Takeover, Tender Offer",7389,3674,,211429,216783,,,,,,563.621,180783,17.0867,,-267,,13774,,11618,89.8197,-6.01691,34478,,2.06601,0.295301,,52853,3.62845,-0.250057,,9604,,-4.18898,,22.2183,,37.1763,,-0.96639,,2.01704,,1.91015,,-24.1762,,-267,,,,7.60567,,
2016-10-17,Alon USA Energy Inc,Delek US Holdings Inc,792.06,Stock,0,1,0,27.23,ALJ US,DK US,USD,841.25,"Company Takeover, Additional Stake Purchase",2911,2911,2110.16,6847.7,2497,6.97199,0.6,1.02,,,874.768,1773.13,41.2571,-39.941,-22.8,,,130.502,726,166.603,23.8235,10110.8,3983.27,11.629,2.07125,3913.4,10722.9,-7.16093,-7.60888,78.167,737.4,-1.72254,2.80708,25.0202,48.2848,90.6515,604.129,-0.912154,0.871706,1.09124,0.817585,3.6943,22.5488,-7.68472,,-82.805,-22.8,,,-3.03193,2.72885,29.3702,
2001-07-16,Packard Bioscience Co,Revvity Inc,791.59,Stock,0,1,0,32.25,PBSC US,RVTY US,USD,813.22,Company Takeover,3826,3826,306.092,12168.4,10354.3,33.673,,0.28,,13.6032,570.16,10863.2,-3.64034,48.612,241.201,28.358,215.84,22.129,379.497,-16.0341,-4.9119,1291.69,83.881,6.55059,0.368446,165.375,2856.05,67.0048,3.23386,23.388,809.837,8.9935,12.487,56.3265,27.9265,207.043,46.8695,0.778773,3.86869,2.4187,1.68244,,1.64648,,-8.96615,-6.368,241.201,,,67.6684,-1.80809,,3.66338
2012-11-12,Annaly Commercial Real Estate Group Inc,Annaly Capital Management Inc,789.74,Cash,1,0,0,9.51,CXS US,NLY US,USD,789.74,"Company Takeover, Tender Offer, Additional Stake Purchase",6798,6798,973.999,135610,16461.8,8.15088,1.16,2.8,138.936,99.1537,997.729,15807.9,2.63864,68.304,2027.26,,,,,5.77634,-0.282363,,,10.6672,0.856252,91.537,7068.15,7.48665,14.7418,67.094,6907.66,72.0196,91.1057,3.37875,60.393,3.62485,506.803,,,,,1.07185,9.43049,,-6.20869,71.032,2027.26,-26.6944,87.2896,-1.90075,30.9527,,
2002-11-15,FBR Asset Investment Corp,Arlington Asset Investment Corp,789.49,Stock,0,1,0,1.78,0154604D US,AAIC US,USD,740.55,"Company Takeover, Additional Stake Purchase",6798,6799,1325.12,1002.32,,,5,,77.2903,,783.198,121.383,,97.42,0.426,,,,,,,,,,7.83288,39.088,52.043,21.1945,-1.2282,34.822,34.926,89.0862,35.7976,83.3993,76.9661,542.096,354.948,2.38295,,,,5.33506,4.86123,,,23.065,5.426,,582.565,,24.8161,,
2015-03-02,Square 1 Financial Inc,PacWest Bancorp,789.04,Stock,0,1,0,,SQBK US,PACW US,USD,764.94,Company Takeover,6022,6021,3094.87,41228.9,,,,0.76,,30.3065,,948.947,,36.356,-1366.67,,,,,,,,,,,129.798,1631.32,11.9133,-53.6438,,,38.6275,41.5621,,6.65853,,69.4905,,,,,11.0222,10.982,,8.44106,34.183,423.613,26.9072,5.22735,33.0309,1.94245,,
2006-06-30,DJO Global Inc,Blackstone Inc,788.16,Cash,1,0,0,13.95,ENMC US,BX US,USD,788.16,"Company Takeover, Private Equity, Going Private, PE Buyout",3842,6282,,47709,132448,27.8204,,4.74,,122.459,452.384,189403,-28.8901,,3019.21,,,,,-31.3852,-6.25376,,,9.34273,0.866853,,14450.3,0.287614,35.7772,,7291.79,,48.3982,,27.8903,,60.811,,,,,,5.40228,,16.5668,,3019.21,,9.03837,,9.75181,,
2000-10-16,Coulter Pharmaceutical Inc,Corixa Corp,787.75,Stock,0,1,0,,87120Q US,CRXA US,USD,372.89,Company Takeover,2834,2836,110.205,,,,,,,,544.467,182.9,,-54.467,,44.804,,,,,,,,-0.945859,-3.92016,,,-58.5998,-198.879,-58.251,,,,10.6039,,13.462,,,,6.27802,,1.18755,,,,-50.606,,,,-28.1725,,,
1999-08-27,Medtronic Xomed Inc,Medtronic PLC,787.57,Stock,0,1,0,,XOMD US,MDT US,USD,807.80,"Company Takeover, Private Equity",3841,3845,,91680,123651,22.0028,,2.84,,76.9841,613.4,129466,0.197796,,4614,,2732,,5476,2.07847,-0.320413,12470,,7.10774,,,33537,8.5884,9.38072,,9048,,17.7565,,32.3146,,61.3934,,8.16872,,1.84906,,1.84919,,0.307479,,4662,,,,1.88818,,-6.1538
2006-09-18,Murphy-Brown of Missouri LLC,Smithfield Foods Inc,787.50,Cash and Stock,1,1,0,6.00,PORK US,SFD US,USD,834.04,Company Takeover,2011,2013,,11054,9654.85,11.3574,,1,,12.135,582.265,9179.18,10.2553,,864,,,,2411,17.8246,-3.01418,13235,,4.01645,3.06849,,14142,5.77382,,,1457,,7.90553,,21.205,,38.6926,,16.9394,,2.46307,,1.86422,,,,953,,,,-16.9933,,
1998-09-11,American Apartment Communiti,UDR Inc,786.80,Cash and Stock,1,1,0,,AAX US,UDR US,USD,507.00,Company Takeover,,6798,,10605.7,12111.2,79.2681,,1.72,,152.443,,12041.1,2.45683,,377.704,,,,,-19.5048,-1.06553,,,3.77757,,,1712.32,,11.2219,,1247.2,,32.3308,,56.6143,,144.726,,2.69802,,,,3.23587,,5.90506,,377.704,,,,-2.67868,,-5.12705
2004-08-17,Horizon Natural Resources Co,ICG Inc,786.00,Cash,1,0,0,,HZONQ US,ICGC US,USD,786.00,"Company Takeover, Bankruptcy/Liquidation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-05,Comcast UK Cable Partners Ltd,NTL Inc/Pre-2003,786.00,Stock,0,1,0,160.70,2817Q US,NTLDQ US,USD,996.71,"Company Takeover, Tender Offer",,4899,733.474,16834.2,,,,,,,786.022,,,-107.826,-12951.9,,,,,,,1419.5,,,0.325137,92.869,3699.2,-37.4564,,4.891,610.9,-39.8928,-69.1933,55.3915,105.549,143.855,,-0.895463,-1.69667,1.79508,0.0774085,2.25955,24.7769,,,-110.396,-14241.3,,,-11.6742,-40.6906,,
2016-09-22,WCI Communities Inc,Lennar Corp,785.54,Cash,1,0,0,12.99,WCIC US,LEN US,USD,785.54,Company Takeover,1531,1531,861.636,34430.4,26183.2,14.642,,2,,25.3128,613.36,32430,4.86926,34.553,2078.18,,,554.191,11841.3,-9.23429,-7.94674,27942,521.707,12.2392,2.18509,563.616,34186.9,7.18382,8.30075,58.676,3176.1,9.8812,8.32853,28.6052,12.6308,52.0241,19.6419,4.73934,7.92246,7.09977,5.2124,1.84301,1.52005,,-42.638,35.4,2078.18,,,6.99433,-16.6591,,5.24668
2015-11-11,Roundy's Inc,Kroger Co/The,784.85,Cash,1,0,0,6.93,RNDY US,KR US,USD,784.85,"Company Takeover, Tender Offer",5411,5411,1119.35,52616,43324.9,15.0022,,1.34,,33.1332,121.362,41672.2,10.3345,-6.544,789,,,275.457,7038,8.76133,-1.79186,113025,2969.74,7.33368,2.34497,3855.16,147123,,7.91295,-163.47,7972,-6.02925,2.61618,57.4131,47.6699,,302.886,-4.30335,8.55333,1.21782,0.958156,18.4299,5.18196,-30.8597,6.78055,-309.867,2665,,,-23.4134,4.17978,,0.916724
2016-12-06,Intralinks Holdings Inc,Synchronoss Technologies Inc,783.00,Cash,1,0,0,20.76,IL US,SNCR US,USD,783.00,"Company Takeover, Tender Offer",7372,7371,461.713,293.825,103.561,,,,,,580.995,69.9626,,-20.055,-9.721,25.79,42.819,,,2.04082,,35.74,77.784,3.68796,0.657711,276.153,173.594,-7.28215,-21.4457,27.5,43.647,-8.40042,12.4901,17.9358,71.7022,29.3502,498.354,-5.23067,1.20435,1.30626,2.0195,1.60108,7.35536,-20.2903,-46.5796,-30.384,6.139,,,-2.15043,-5.32067,0.88273,
2000-06-20,Mynd Corp,Computer Sciences Corp,782.69,Cash,1,0,0,8.36,YND US,2596516D US,USD,782.69,"Company Takeover, Private Equity",7373,7373,706.288,8663,,,,0.56,,,480.391,9751.03,,-163.076,-123,12.644,,,,,,5545,357.953,3.96493,3.20858,644.019,7607,-32.0424,-6.28674,119.768,556,-12.7006,-1.34087,32.7062,34.2029,71.6979,136.796,-6.81276,-0.871795,2.78964,1.10068,1.88979,4.1909,9.4346,-1.69126,-71.971,-123,,,-1.72673,11.9829,1.92057,
2021-11-08,Allegiance Bancshares Inc,Stellar Bancorp Inc,782.12,Stock,0,1,0,,ABTX US,STEL US,USD,838.82,Company Takeover,6022,6021,7104.95,10806.6,1878.57,18.4905,0.52,0.57,11.8927,28.6773,761.026,1574.91,20.2974,75.712,102.872,,,,,28.3938,-1.79325,,,,,261.746,596.26,10.1322,6.27936,,,42.127,30.1793,3.02711,0.523144,26.3421,3.388,,,,,8.35171,6.62667,20.0506,2.83171,81.553,102.872,12.4678,-1.76968,17.4348,-0.909572,,
2006-10-31,Banta Corp,RR Donnelley & Sons Co,781.74,Cash,1,0,0,5.12,BN US,RRD US,USD,781.74,Company Takeover,6719,2750,518971,3162.7,,,0.24,,46.8208,,113722,846.752,,1307,155.7,,,8849,490.9,,,4273.1,46594,6.43827,12.6508,75100,5366.7,2.66138,,28428,489.5,24.0333,6.89064,60.0561,54.561,158.502,3784.21,1.0049,2.82506,1.62656,1.4583,11.7824,,9.20631,,1307,155.7,,,5.82088,0.999553,-3.16799,
1999-11-17,Safeskin Corp,Kimberly-Clark Corp,778.53,Stock & Debt,0,1,1,14.29,SFSK US,KMB US,USD,772.97,Company Takeover,3069,2670,248.961,17098,35021.1,18.2981,,5.04,,105.182,439.826,33485.4,4.32649,16.5109,2021,6.347,326,37.057,1475,-26.6132,-5.32805,10524,,9.25119,0.994014,231.784,16447,14.4901,168.347,72.453,3297,25.7196,14.2944,37.0464,44.1806,75.9654,457.264,19.7006,9.18359,2.35725,0.745263,1.69956,14.0125,35.0996,-5.23026,41.869,2021,,,79.7293,3.33615,7.77552,-0.93525
2006-03-22,NGL TM LLC,Morgan Stanley,778.42,Cash,1,0,0,7.31,0601151D US,MS US,USD,778.42,"Company Takeover, Additional Stake Purchase",1311,6211,,1.42027e+06,257424,15.9151,,3.85,,37.294,490.604,281001,-7.52933,,16861,,,,,26.2487,-3.23479,,,48.057,1.65683,,119662,2.70891,16.5264,,76458,,31.0765,,42.5385,,536.308,,,,,,13.4017,,,,16861,,14.3845,,16.8878,,
2007-07-17,Keystone Automotive Industries Inc,LKQ Corp,777.94,Cash,1,0,0,12.98,1068347D US,LKQ US,USD,777.94,Company Takeover,5013,5010,326.98,15137,8083.87,11.7605,,0.3,,12.9614,679.047,7701,5.31457,31.59,607,,,133.877,3426,-24.5952,-5.39815,8386,401.073,5.60331,3.67046,713.955,13651,12.6348,9.67022,57.862,1750,6.67129,7.27419,,33.6394,,77.6101,159.298,4.43304,3.77318,1.67294,1.27474,2.397,5.57719,-2.72461,30.324,607,,,13.2622,1.21698,-4.15743,-4.89658
2018-06-07,AV Homes Inc,Taylor Morrison Home Corp,777.90,Cash or Stock,1,1,0,17.90,1909395D US,TMHC US,USD,777.90,Company Takeover,1531,1531,1010.14,9837.8,6056.5,7.85483,,,,,478.536,5683.12,7.04943,-24.366,782.5,,,,6140.66,3.95106,-5.85289,6251.27,,12.0177,1.87459,843.253,8121.48,-5.48969,12.8702,47.944,1190.9,4.47493,13.978,46.7367,23.1762,109.292,36.1376,1.16143,,,6.87243,2.09609,1.57361,,-1.25614,-21.936,782.5,,,20.2219,5.81541,,-11.5919
2005-07-05,Aspect Communications Corp,Aspect Software Inc,776.76,Cash,1,0,0,9.35,3075370Q US,0876902D US,USD,776.76,Company Takeover,7372,3661,340.504,950.867,,,,,,,691.875,,,52.749,,44.467,39.118,3.34,,,,,148.63,,1.37889,370.437,303.284,29.6074,,93.77,,18.2271,11.4434,0.0895731,82.1887,0.154269,,43.6458,,1.96034,0.5459,2.68787,,-4.73807,,61.257,-33.82,,,9.63311,-0.707674,,
1999-06-01,Dialogic Inc/Parsippany NJ,Intel Corp,776.67,Cash,1,0,0,16.63,4111888Q US,INTC US,USD,776.67,Company Takeover,3571,3674,,211429,216758,,,,,,515.511,180783,17.1344,,-267,,13774,,11618,89.8105,-5.96271,34478,,2.06601,2.91075,,52853,14.0328,-0.250057,,9604,,-4.18898,,22.2183,,37.1763,,-0.96639,,2.01704,,1.91015,,-24.1762,,-267,,,,7.60567,,
