Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Payment Type,Payment_Cash,Payment_Stock,Payment_Debt,TV/EBITDA,Target Ticker,Acquirer Ticker,Currency of Deal,Current/Completed Total Value,Deal Attributes,Current Target SIC Code,Current Acquirer SIC Code,Target Total Assets,Acquirer Total Assets,Acquirer Current Market Cap,Acquirer Price Earnings Ratio (P/E),Target Trailg 12Mth Dividend per Shar,Acquirer Trailg 12Mth Dividend per Shar,Target Dividend Payout Ratio,Acquirer Dividend Payout Ratio,Target Market Value of Equity,Acquirer Market Value of Equity,Acquirer Total Return Year To Date Pct,Target Trailg 12Mth Cashflow Net Inc,Acquirer Trailg 12Mth Cashflow Net Inc,Target R & D Expenditures,Acquirer R & D Expenditures,Target Inventories,Acquirer Inventories,Acquirer - Price Change 1 Year Percent (CHG_PCT_1Y),Acquirer - Price Change 5 Day Percent (CHG_PCT_5D),Acquirer Trailing 12 Mth COGS,Target Trailing 12 Mth COGS,Acquirer Trailing 12 month EBITDA per Share,Target Trailing 12 month EBITDA per Share,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Return on Common Equity,Acquirer Return on Common Equity,Target EBITDA(Earn Bef Int Dep & Amo),Acquirer EBITDA(Earn Bef Int Dep & Amo),Target Operating Margin,Acquirer Operating Margin,Target Total Debt to Total Assets,Acquirer Total Debt to Total Assets,Target Total Debt to Total Equity,Acquirer Total Debt to Total Equity,Target EBIT to Total Interest Expense,Acquirer EBIT to Total Interest Expense,Target Current Ratio,Acquirer Current Ratio,Target Financial Leverage,Acquirer Financial Leverage,Target GeoGrwth - Cash Flow per Share,Acquirer GeoGrwth - Cash Flow per Share,Target Net Income/Net Profit (Losses),Acquirer Net Income/Net Profit (Losses),Target Net Revenue Growth,Acquirer Net Revenue Growth,Target Asset Growth,Acquirer Asset Growth,Target Geometric Growth-EBITDA Tot Mkt VaL,Acquirer Geometric Growth-EBITDA Tot Mkt VaL
1998-07-28,GTE Corp,Verizon Communications Inc,71126.72,Stock,0,1,0,7.48,571300Q US,VZ US,USD,77023.38,"Company Takeover, Tender Offer",3661,4813,,404258,213246,11.092,,2.685,,66.0697,68215,171758,26.3469,,17174,,,,2441,15.147,1.32371,56765,,11.2662,10.517,,138191,39.4605,16.8623,,53148,,21.1729,,44.9324,,171.781,,3.93584,,0.91265,,3.87325,,-2.72376,,17174,,,,5.08096,,-2.26887
1998-04-06,Citicorp/Old,Citigroup Inc,69891.80,Stock,0,1,0,,2200Q US,C US,USD,36409.50,"Company Takeover, Tender Offer",6021,6021,953604,2.6572e+06,190440,15.3422,,2.32,27.3835,33.3231,,203921,-5.36712,17114,14306,,,,,41.7066,-0.0176159,,,58.5453,,78758,168297,18.6975,6.79967,,108090,38.7905,23.2655,20.655,33.8095,208.039,420.156,,,,,10.0509,13.0817,,,16908,14306,14.0025,5.0358,16.2786,12.9309,,
2018-03-08,Evernorth Health Inc,Cigna Group/The,68369.38,Cash and Stock,1,1,0,9.37,ESRX US,CI US,USD,66411.58,Company Takeover,5912,6324,54255.8,157919,72375.4,2.74665,,6.04,,27.0461,53547.6,72513.2,0.508663,4899.7,5957,,,2124.9,7338,-11.608,-1.77224,249340,92427.7,44.8496,12.9663,100065,274900,26.8606,14.3983,7296,11975,5.49045,3.34667,29.5165,19.9235,88.3538,75.1373,9.03767,6.53409,0.670001,0.848639,3.0854,3.79233,7.12621,4.88415,4517.4,5957,,,4.85246,1.30741,-9.9849,-2.89068
2017-12-03,Aetna Inc,CVS Health Corp,68113.12,Cash and Stock,1,1,0,15.81,AET US,CVS US,USD,71243.25,Company Takeover,6324,5912,55151,253538,101382,11.3897,2,2.66,34.5588,190.623,66413.1,100867,1.36321,3665,1768,,,,19246,22.7735,7.4144,346705,44341,7.32906,18.7603,60535,402067,21.639,2.34523,4548,11600,6.34839,1.15901,19.055,31.5337,66.3573,106.06,8.69457,1.49407,0.921958,0.842398,3.71468,3.36101,,-7.07667,1904,1768,,,-20.2398,0.12756,12.3623,12.6532
2018-04-29,Sprint Corp,T-Mobile US Inc,68014.33,Stock,0,1,0,6.44,1897377D US,TMUS US,USD,68014.33,"Majority purchase, Cross Border",4813,4812,84601,219237,238250,20.2842,,3.66,,37.4909,21418.3,224751,6.91747,-2679,10992,,,999,2405,-20.8445,-2.63312,32774,13607,28.1736,2.46197,33600,88309,-9.91763,18.177,9789,36732,1.18452,20.6989,47.1897,55.7702,152.804,206.525,0.155287,4.78884,1.06405,0.998408,3.24369,3.53281,,19.2152,-1943,10992,,,-1.00399,5.38467,,-2.17939
1998-05-11,AT&T Teleholdings Inc,AT&T Inc,67589.80,Stock,0,1,0,10.62,3054Q US,T US,USD,83192.23,Company Takeover,4812,4813,30299,420198,198046,14.1624,0.9375,1.11,37.188,37.3704,80776.5,174812,15.4849,2958,21953,,843,345,2420,2.05628,-0.15873,50820,,6.28344,6.75892,17154,125648,29.2092,20.3709,6910,50975,24.4433,19.2299,26.9844,37.7498,75.0298,123.45,6.5721,3.46707,0.64125,0.906136,2.89706,3.79234,8.3041,-1.38906,3606,21953,,,19.5746,6.43448,11.3588,-7.50962
2014-05-18,DIRECTV,AT&T Inc,66668.80,Cash and Stock,1,1,0,8.38,1448062D US,T US,USD,65218.79,Company Takeover,4899,4813,25459,420198,198046,14.1624,,1.11,,37.3704,46813.6,174812,15.4849,2866,21953,,843,299,2420,2.05628,-0.15873,50820,18238,6.28344,16.3176,33260,125648,,20.3709,8071,50975,15.4179,19.2299,81.7471,37.7498,,123.45,5.49625,3.46707,1.26728,0.906136,,3.79234,22.8974,-1.38906,2756,21953,,,16.2246,6.43448,1.58084,-7.50962
2015-12-11,EIDP Inc,DuPont de Nemours Inc,65349.87,Stock,0,1,0,13.40,1715651D US,DD US,USD,81090.86,Company Takeover,2820,2821,42845,21575,19607.9,15.5077,0.7,1.43,,1047.37,,16449.7,20.3087,1104,-779,1474,193,5667,1172,45.3417,-5.91345,4486,9172,3.43789,,17401,6849,4.6177,-4.18042,3641,1239,14.0107,7.38794,6.02171,15.81,10.6339,24.1863,13.5444,1.61661,1.41522,2.41866,1.74983,1.56191,,-9.48899,1104,-779,,,4.94795,-41.1098,,-28.0034
2014-11-17,Allergan Inc/United States,Allergan Ltd/Ireland,65024.28,Cash and Stock,1,1,0,31.23,1284849D US,AGN US,USD,72261.66,Company Takeover,2834,2834,12415.7,94699.1,,,0.2,2.96,3.89529,,63613.9,58389.9,,1524.2,-2485,1191.6,1812,296,1133.1,,,2618.4,842.4,8.38153,7.58281,7237.9,16088.9,21.4431,-4.15761,2257.4,1743.3,27.7608,-27.6296,17.3764,24.5192,27.7908,39.8985,1.59342,-5.67727,4.41225,1.00506,1.61717,1.59373,12.0531,16.5985,1524.2,-5271,,,17.4139,-6.96401,11.2164,-31.7541
2002-07-15,Pharmacia LLC,Pfizer Inc,64263.86,Stock,0,1,0,,748957Q US,PFE US,USD,60340.13,Company Takeover,2834,2834,18517,208160,151093,9.57198,0.54,1.72,29.1383,126.517,54162.4,141581,8.59776,597,7771,2359,10437,2177,10654,1.12381,-2.3213,16067,3077,3.6666,,13993,62579,6.00966,8.89632,2965,21307,16.9942,22.7616,18.5721,32.3866,43.079,77.6906,15.4416,5.0208,1.86345,1.15991,2.05828,2.41332,23.3812,-4.50128,597,7771,,,-17.2499,-2.45365,1.9437,-12.309
