Announce Date,Acquirer Ticker,Target Ticker,Deal Description
2004-06-04,MGM US,3161655Q US,MGM Resorts International acquired Mandalay Resort Group for USD 7666.17M. The transaction was announced on 6/4/2004 and completed on 4/26/2005.
2005-10-10,LNC US,1288652D US,Lincoln National Corp acquired Jefferson-Pilot Corp for USD 7660.49M. The transaction was announced on 10/10/2005 and completed on 4/3/2006.
2008-03-17,CME US,NMX US,"CME Group Inc acquired NYMEX Holdings Inc for USD 9,743.32M. The transaction was announced on 03/17/2008 and completed on 08/22/2008."
2000-08-21,RIG US,236619Q US,Transocean Ltd acquired R&B Falcon Corp/Old for USD 7603.75M. The transaction was announced on 8/21/2000 and completed on 2/1/2001.
2016-02-01,ABT US,1986522D US,"Abbott Laboratories acquired Alere Inc for USD 7,585.90M. The transaction was completed on 10/03/2017. On 04/14/2017 Alere Inc and Abbott Laboratories amended the terms of the acquisition agreement to USD 51.00 per Alere share. Alere Inc announced on 04/28/2016 that it had rejected a request ..."
2000-03-13,TRB US,1916672D US,Tribune Co/Old acquired Times Mirror Co for USD 7538.42M. The transaction was announced on 3/13/2000 and completed on 6/13/2000.
2016-06-15,AMSG US,1469138D US,Envision Healthcare Holdings Inc and AMSURG Corp announced an agreement in which the companies would combine in an all-stock transaction at a rate of .334 AMSURG shares per Envision share on 06/15/2016. The combined company will be named Envision Healthcare Corp and will be majority owned by ...
2021-12-23,QDEL US,OCDX US,QuidelOrtho Corp acquired Ortho Clinical Diagnostics Holdings PLC for USD 7412.58M. The transaction was announced on 12/23/2021 and completed on 5/27/2022.
2003-04-02,FDC US,519239Q US,First Data Corp acquired Concord EFS Inc for USD 7388.88M. The transaction was announced on 4/2/2003 and completed on 2/27/2004.
2020-10-20,PXD US,PE US,Pioneer Natural Resources Co acquired Parsley Energy Inc for USD 7358.29M. The transaction was announced on 10/20/2020 and completed on 1/13/2021.
2000-10-02,FBF US,3075558Q US,FleetBoston Financial Corp acquired Summit Bancorp for USD 7345.54M. The transaction was announced on 10/2/2000 and completed on 3/1/2001.
2018-11-08,VISN US,ARRS US,"On 11/08/2018, CommScope Holding Co Inc has agreed to acquire ARRIS International PLC in an all-cash transaction for USD 31.75 per share. The transaction was completed on 04/05/2019. On 11/06/2018, it was reported that Commscope Holding Co was nearing a deal to acquire ARRIS International PLC..."
2007-03-12,,3403545Q US,"A consortium led by Citigroup Inc acquired Dollar General Corp/Old for USD 7,321.03M. The transaction was announced on 03/12/2007 and completed on 07/09/2007. As of completion date, this was the largest acquisition in the discount-retail industry on record."
2021-03-08,APO US,ATH US,Apollo Global Management Inc acquired Athene Holding Ltd for USD 7249.22M. The transaction was announced on 3/8/2021 and completed on 1/3/2022.
2018-05-07,BX US,GPT US,"On 10/10/2018, the transaction was completed. On 05/07/2018, it was announced that Grammercy Property Trust entered into a definitive agreement to be acquired by The Blackstone Group LP, acquiring 100% of its common stock for USD 27.50 per share in an all cash-transaction. At the time of anno..."
2014-06-16,LVLT US,TWTC US,"Level 3 Communications Inc announced the acquisition of tw telecom inc for USD 7171.90M. Level 3 is a content delivery company, and this acquisition will give it access to tw telecom's business customer portfolio.The transaction was announced on 06/16/2014 and completed on 11/03/2014."
1999-09-23,EXC US,UCM US,Exelon Corp acquired Unicom Corp for USD 7137.07M. The transaction was announced on 9/23/1999 and completed on 10/23/2000.
2007-10-12,ORCL US,BEAS US,"Oracle Corp acquired BEA Systems Inc for USD 6778.75M. The transaction was announced on 10/12/2007 and completed on 04/30/2008. As of the completion date, this was the largest deal in the enterprise software and services industry in 2007."
2004-05-09,2370058D US,NCF US,SunTrust Banks Inc acquired National Commerce Financial Corp for USD 7110.95M. The transaction was announced on 5/9/2004 and completed on 10/1/2004.
2017-05-15,TMO US,PTHN US,"On 05/15/2017, Thermo Fisher Scientific Inc. announced it will commence a cash tender offer to acquire Patheon NV  for USD 35.00 per share. The transaction completed on 10/05/2017. At the time of announcement, this is the largest deal for Thermo Fisher Scientific Inc. in the past 3 years."
2005-07-06,UNH US,PHS US,UnitedHealth Group Inc acquired Pacificare Health Systems Inc for USD 7094.56M. The transaction was announced on 7/6/2005 and completed on 12/21/2005.
2021-03-25,COHR US,2150994D US,Coherent Corp acquired Coherent Inc for USD 7033.90M. The transaction was announced on 3/25/2021 and completed on 7/5/2022.
2007-12-17,NOV US,0536271D US,"National Oilwell Varco Inc acquired Grant Prideco Inc for USD 7,031.67M. The transaction was announced on 12/17/2007 and completed on 04/22/2008. At the completion date, this was the fourth largest deal on record in the gas services industry"
2007-05-31,1255173D US,1626714D US,"Wachovia Corp acquired AG Edwards Inc for USD 6997.36M. The transaction was announced on 05/31/2007 and completed on 10/01/2007. As of the completion date, this was the sixth largest deal completed in the investment banking industry year to date."
2019-01-07,LLY US,LOXO US,"Eli Lilly & Co announced the acquisition of Loxo Oncology Inc for USD 6,973.93M. The transaction was announced on 01/07/2019 and completed on 02/19/2019. The acquisition would be the largest and latest in a series of transactions Lilly has conducted to broaden its cancer treatment efforts wit..."
2011-02-07,DHR US,BEC US,Danaher Corp acquired Beckman Coulter Inc for USD 6965.10M. The transaction was announced on 2/7/2011 and completed on 6/30/2011.
1998-07-01,USB US,2443Q US,US Bancorp acquired Firstar Holdings Corp for USD 6943.98M. The transaction was announced on 7/1/1998 and completed on 11/20/1998.
2022-05-11,DBRG US,SWCH US,DigitalBridge Group Inc acquired Switch Inc for USD 6930.25M. The transaction was announced on 5/11/2022 and completed on 12/6/2022.
2018-08-08,,1806854D US,"On 08/08/2018, A consortium including Thomas H Lee Partners, Cannae Holdings Inc and CC Capital had announced the acquisition of Dun & Bradstreet Corp for USD 6,877.29M. The transaction completed on 02/08/2019."
2014-09-29,OVV US,ATHL US,"On 10/10/2014 Encana Corp commenced its tender offer for Athlon Energy Corp. On 09/29/2014,  Encana Corp announced the acquisition of Athlon Energy Inc for USD 6,843.19M. The transaction is expected to be completed by 12/31/2014. As of announcement, this is the 3rd largest acquisition globall..."
2010-10-18,ES US,NST US,"Northeast Utilities acquired NSTAR LLC for USD 6842.12M, in a move that created one of the largest utility companies in the United States, serving approximately 3.5M customers. The transaction was announced on 10/18/2010 and completed on 04/10/2012, and is the only acquisition in Northeast Ut..."
2000-08-09,GEC US,SWCM US,Great Elm Capital Group Inc acquired Software.Com Inc for USD 6827.57M. The transaction was announced on 8/9/2000 and completed on 11/20/2000.
2011-02-28,VTR US,NHP US,Ventas Inc acquired Nationwide Health Properties Inc for USD 6819.42M. The transaction was announced on 2/28/2011 and completed on 7/5/2011.
2021-02-17,ET US,ENBL US,Energy Transfer LP acquired Enable Midstream Partners LP for USD 6792.52M. The transaction was announced on 2/17/2021 and completed on 12/3/2021.
1997-03-06,WAMUQ US,231330Q US,Washington Mutual Inc acquired Great Western Financial Corp/CA for USD 6790.81M. The transaction was announced on 3/6/1997 and completed on 7/2/1997.
2012-04-30,9876456D US,1086832D US,"Energy Transfer Partners LP acquired Sunoco Inc for USD 6786.54M. The transaction was announced on 04/30/2012 and completed on 10/05/2012. As of completion date, this was the third largest transaction in the oil & gas industry in 2012. The transaction was paid for by ETP in a split of 50% sto..."
2015-07-14,CELG US,RCPT US,Celgene Corporation acquired Receptos Inc for USD 232.00 per share in cash. The deal was announced on 07/14/2015 and completed on 08/28/2015. The acquisition is the biggest deal for Celgene as of announcement date and would significantly enhance Celgene’s Inflammation & Immunology portfolio...
1998-01-05,T US,127929Q US,AT&T Inc acquired Southern New England Telecommunications Corp for USD 6737.00M. The transaction was announced on 1/5/1998 and completed on 10/26/1998.
2013-07-30,CYH US,1996760D US,Community Health Systems Inc announced the acquisition of Health Management Associates Inc for USD 7527.06M. The transaction was announced on 07/30/2013 and completed on 01/27/2014. This transaction combines two highly complementary hospital portfolios to expand geographic breadth and increas...
2006-03-13,MNIQQ US,KRI US,JCK Legacy Co acquired Knight Ridder Inc for USD 6726.15M. The transaction was announced on 3/13/2006 and completed on 6/28/2006.
2010-08-19,INTC US,MFE US,"Intel Corp acquired McAfee Inc for USD 6,593.67M. The transaction was announced on 08/19/2010 and completed on 03/01/2011. As of completion, this is the largest deal in the internet security industry."
1999-06-01,3133754Q US,496112Q US,AmSouth Bancorp acquired First American Corp/TN for USD 6703.39M. The transaction was announced on 6/1/1999 and completed on 10/4/1999.
2007-01-19,4622869Z US,1941204D US,"Morgan Stanley acquired CNL Hotels & Resorts Inc for USD 6701.78M. The transaction was announced on 01/19/2007 and completed on 04/12/2007. The purpose of the deal as publicly stated was to give Morgan Stanley control of eight luxury resort properties in Arizona, California, Florida and Hawai..."
2006-06-05,,TRZ US,A consortium led by Brookfield Office Properties Inc acquired Trizec Properties Inc for USD 6699.08M. The transaction was announced on 6/5/2006 and completed on 10/6/2006.
1998-04-07,CNCEQ US,2964Q US,Conseco Inc/Old acquired Conseco Finance Corp for USD 6684.33M. The transaction was announced on 4/7/1998 and completed on 7/1/1998.
1998-06-24,2860436Q US,TCIVA US,Liberty Interactive LLC acquired TCI Ventures for USD 6677.09M. The transaction was announced on 6/24/1998 and completed on 3/10/1999.
2012-11-27,CAG US,RAH US,"ConAgra Foods Inc acquired Ralcorp Holdings Inc for USD 6655.36M in cash. The transaction was announced on 11/27/2012, completed on 01/30/2013, and was the second largest deal in its industry at the time of completion. With 36,000 employees and sales of approximately $18 billion annually, the..."
2005-02-14,VZ US,MCIP US,Verizon Communications Inc acquired MCI Inc/United States for USD 6633.06M. The transaction was announced on 2/14/2005 and completed on 1/9/2006.
2000-06-21,TXN US,0574397D US,Texas Instruments Inc acquired Burr-Brown International Holding Corp for USD 6621.00M. The transaction was announced on 6/21/2000 and completed on 8/25/2000.
2022-02-28,HR US,9990721D US,Healthcare Realty Trust Inc acquired Healthcare Realty Trust Inc/MD for USD 6592.58M. The transaction was announced on 2/28/2022 and completed on 7/21/2022.
2015-10-26,DUK US,PNY US,"Duke Energy Corp announced the acquisition of Piedmont Natural Gas Co Inc for USD 6,536.09M. The transaction was announced on 10/26/2015 and was completed on 10/04/2016. At the time of announcement, this is Duke Energy's largest acquisition since 2011."
1998-06-18,LYO US,1494619D US,Lyondell Chemical Co acquired Lyondell Chemical Worldwide Inc for USD 6524.69M. The transaction was announced on 6/18/1998 and completed on 7/29/1998.
2005-10-24,0848680D US,1902177D US,Sprint Communications Inc acquired Nextel Partners Inc for USD 6516.00M. The transaction was announced on 10/24/2005 and completed on 6/27/2006.
2000-04-03,APC US,2953349Q US,Anadarko Petroleum Corp acquired Anadarko Holding Co for USD 6513.53M. The transaction was announced on 4/3/2000 and completed on 7/17/2000.
2015-07-02,CNC US,HNT US,"Centene Corp announced the acquisition of Health Net Inc/CA for USD 6,490.69M. The transaction was announced on 07/02/2015 and completed on 03/24/2016. At the time of announcement this was the largest acquisition by Centene Corp to date."
2001-02-23,EOP US,48538Q US,Equity Office Properties Trust acquired Spieker Properties Inc for USD 6488.66M. The transaction was announced on 2/23/2001 and completed on 7/3/2001.
2012-06-29,BMY US,AMLN US,"Bristol-Myers Squibb Co acquired Amylin Pharmaceuticals LLC for USD 6486.10M. The transaction was announced on 06/29/2012 and completed on 08/09/2012. Bristol-Myers acquired all the remaining shares of Amylin common stock by means of a short form merger in which all shares, other than inside ..."
2020-02-10,SPG US,TCO US,Simon Property Group Inc acquired Taubman Centers Inc for USD 6480.82M. The transaction was announced on 2/10/2020 and completed on 12/29/2020.
2000-03-13,2471693D US,862395Q GR,i2 Technologies Inc acquired Aspect Development Inc for USD 6480.33M. The transaction was announced on 3/13/2000 and completed on 6/12/2000.
2021-12-15,ENTG US,CCMP US,Entegris Inc acquired CMC Materials LLC for USD 6473.22M. The transaction was announced on 12/15/2021 and completed on 7/7/2022.
2005-09-27,ELV US,WC US,Elevance Health Inc acquired WellChoice Inc for USD 6461.04M. The transaction was announced on 9/27/2005 and completed on 12/29/2005.
2017-06-19,EQT US,1850242D US,"EQT Corp acquired Rice Energy Inc for USD 6,456.71M. The transaction was completed on 11/13/2017. On 06/19/2017 Rice Energy Inc announced that it was going to be acquired by EQT Corp. The companies own mostly contiguous acreage in the Marcellus and Utica natural gas formations. At the time of..."
2008-06-12,1255459D US,3286728Q US,Life Technologies Corp acquired Applied Biosystems Inc for USD 6431.50M. The transaction was announced on 06/12/2008 and completed on 11/24/2008. It’s the second largest transaction in the instruments-scientific industry as of the announcement date.
2000-02-23,MGM US,3301Q US,MGM Resorts International acquired Mirage Resorts LLC for USD 6422.49M. The transaction was announced on 2/23/2000 and completed on 6/1/2000.
2011-04-04,TXN US,0203524D US,"Texas Instruments Inc acquired National Semiconductor Corp for USD 6,406.52M. The transaction was announced on 04/04/2011 and completed on 09/26/2011. Upon completion, the deal was the second largest acquisition made by Texas Instruments since the company's first acquisition of C-Cube Microsy..."
2007-03-19,CYH US,2758954Q US,"Community Health Systems Inc acquired Triad Healthcare Corp for USD 6,366.17M. The transaction was announced on 03/19/2007 and completed on 07/25/2007. This deal followed an unsuccessful bid by multiple acquirers that was terminated on 03/19/2007."
2017-06-09,DLR US,DFT US,"On 06/09/2017, Digital Realty Trust Inc entered an agreement to acquire DuPont Fabros Technology Inc for 0.545 Digital Realty shares for each Dupont Fabros share. The deal is the largest merger of REITs in 2017."
1998-11-24,IP US,896661Q US,International Paper Co acquired Union Camp Corp for USD 6305.40M. The transaction was announced on 11/24/1998 and completed on 5/3/1999.
1998-05-11,SSCCQ US,1567Q US,Smurfit-Stone Container Corp/Old acquired Smurfit-Stone Container Enterprises Inc/Old for USD 6287.86M. The transaction was announced on 5/11/1998 and completed on 11/18/1998.
1999-08-26,CSCO US,9273797Q US,Cisco Systems Inc acquired Cerent Corp for USD 6280.00M. The transaction was announced on 8/26/1999 and completed on 11/2/1999.
1999-03-13,1996074D US,93916Q US,El Paso LLC acquired Sonat Inc for USD 6232.17M. The transaction was announced on 3/13/1999 and completed on 10/26/1999.
1998-10-09,CAH US,3500Q US,Cardinal Health Inc acquired Allegiance Corp for USD 6209.85M. The transaction was announced on 10/9/1998 and completed on 2/4/1999.
2022-02-23,APO US,2454227D US,Apollo Global Management Inc acquired Tenneco Inc for USD 6181.26M. The transaction was announced on 2/23/2022 and completed on 11/17/2022.
2016-05-24,DXC US,2596516D US,"Computer Sciences Corp announced that it approved a plan to merge the company with the Enterprise Services segment of Hewlett Packard Enterprise Co, DXC Technology Co. The transaction is structured as a Reverse Morris Trust; Computer Sciences Corp and Hewlett Packard shareholders to own 49.9%..."
2003-06-23,BIIB US,BGEN US,Biogen Inc acquired Biogen MA Inc for USD 6121.52M. The transaction was announced on 6/23/2003 and completed on 11/13/2003.
1995-08-20,285939Q US,UPJ US,Pharmacia & Upjohn Inc acquired Upjohn Co for USD 6110.43M. The transaction was announced on 8/20/1995 and completed on 11/6/1995.
2014-07-13,ACM US,URS US,"On 07/13/2014, AECOM Technology Corp and URS Corp announced that AECOM Technology corp will acquire all outstanding shares of URS for USD 6087.60M. This is the US largest deal in Engineering & Construction industry year to date at the time of annoucnement. By this acquisition, AECOM will gain..."
1999-03-15,1715651D US,2288005Q US,EIDP Inc acquired Pioneer Hi-Bred International Inc for USD 6084.48M. The transaction was announced on 3/15/1999 and completed on 10/4/1999.
2019-12-19,MTCH US,1812209D US,Match Group Inc acquired Match Group Inc/old for USD 6075.88M. The transaction was announced on 12/19/2019 and completed on 7/1/2020.
2004-02-16,NFB US,612939Q US,North Fork Bancorporation Inc acquired Greenpoint Financial Corp for USD 6074.29M. The transaction was announced on 2/16/2004 and completed on 10/1/2004.
2019-11-13,APO US,TECD US,Apollo Global Management Inc acquired Tech Data Corp for USD 6050.54M. The transaction was announced on 11/13/2019 and completed on 7/1/2020.
2017-12-18,CPB US,LNCE US,"On 12/18/2017, Campbell Soup Co announced the acquisition of Snyder's-Lance Inc for USD 50.00 per share in cash, for an overall consideration of 6044.00M. At the time of announcement, this is the largest acquisition for Campbell on record. On 12/14/17, CNBC reported that Snyder’s-Lance Inc ..."
2014-07-13,WLL US,KOG US,"Whiting Petroleum Corp announced the acquisition of Kodiak Oil & Gas Corp for USD 6038.16M. The transaction, which was announced on 07/13/2014, will create a dominant crude-oil producer in the richest U.S. shale region as energy explorers seek access to future drilling opportunities. This is ..."
2016-06-03,DBRG US,1627503D US,"On 06/03/2016, Colony Capital Inc, NorthStar Realty Finance Corp & NorthStar Asset Management Group Inc (NSAM) announced a merger of equals under which the companies will combine in an all-stock transaction. The resulting company will be named Colony Northstar Inc. NSAM shareholders will rece..."
2014-07-15,ALB US,ROC US,"On 07/15/2014, Albemarle Corp announced the acquisition of Rockwood Holdings Inc for USD 6005.05M. The transaction is expected to be completed by 03/31/2015. As of announcement, this is the largest acquisition globally YTD in the Chemicals industry."
1998-10-21,NWL US,RBD US,Newell Brands Inc acquired Rubbermaid Inc for USD 5999.27M. The transaction was announced on 10/21/1998 and completed on 3/25/1999.
2014-06-15,WMB US,,"Global Infrastructure Partners announced the sale of 50% Access Midstream Partners GP LLC and 55.1M LP units in Access Midstream Partners LP to Williams Cos Inc for USD 5,995.0M. The transaction was announced on 06/15/2014 and is expected to be completed by 09/30/2014. Upon closing, Williams ..."
2008-10-06,LLY US,0945329D US,"Eli Lilly & Co acquired ImClone Systems Inc for USD 5,984.72M. The transaction was announced on 10/06/2008 and completed on 11/25/2008. This acquisition will broaden the portfolio of marketed cancer therapies owned by Eli Lilly & Co."
2005-01-10,TFCFA US,0820077D US,TFCF Corp acquired Fox Entertainment Group Inc for USD 5976.94M. The transaction was announced on 1/10/2005 and completed on 3/22/2005.
2016-02-01,D US,STR US,Dominion Resources Inc/VA announced the acquisition of Questar Corp for USD 25 per share.  The transaction was announced on 02/01/2016 and was completed on 09/19/2016. This was the largest acquisition by Dominion Resources since its takeover of Consolidated Natural Gas Co in 1999.
2021-10-11,EMR US,2061517D US,Emerson Electric Co acquired Aspentech Corp for USD 5959.13M. The transaction was announced on 10/11/2021 and completed on 5/17/2022.
2020-09-28,DVN US,WPX US,Devon Energy Corp acquired WPX Energy Inc for USD 5951.70M. The transaction was announced on 9/28/2020 and completed on 1/7/2021.
1998-03-16,3692470Q US,XO US,Alltel Corp acquired 360 Communications Co for USD 5937.27M. The transaction was announced on 3/16/1998 and completed on 7/1/1998.
2013-12-09,ESS US,BRE US,"On 12/23/2013, Essex Property Trust Inc. proposed to acquire BRE Properties Inc for USD 5,000.00M. The companies entered into exclusive negotiations on 12/09/2013. The transaction completed on 04/02/2014 for USD 5,936.40M."
2007-07-02,CG US,1719868D US,"The Carlyle Group LP acquired Manor Care Inc for USD 5936.05M. The transaction was announced on 07/02/2007 and completed on 12/24/2007. As of the announcement date, this was the third largest deal completed in the healthcare services industry year to date."
1998-11-24,TWX US,NSCP US,Time Warner Inc acquired Netscape Communications Corp for USD 5921.74M. The transaction was announced on 11/24/1998 and completed on 3/18/1999.
2006-10-09,PNC US,1552309D US,PNC Financial Services Group Inc/The acquired Mercantile Bankshares Corp for USD 5915.72M. The transaction was announced on 10/9/2006 and completed on 3/5/2007.
2007-05-01,TFCFA US,DJ US,"News Corp acquired Dow Jones & Co Inc for USD 5,517.63M. The transaction was announced on 05/01/2007 and completed on 12/14/2007. At the time of completion, the acquistion was the second largest in the publishing industry year to date."
2009-06-29,EPD US,TPP US,"Enterprise Products Partners LP acquired TEPPCO Partners LP for USD 5892.84M. The transaction was announced on 06/29/2009 and completed on 10/27/2009. As of the completion date, the combined company was the largest publicly traded energy partnership."
2016-11-14,REG US,EQY US,"On 11/14/2016, Regency Centers Corp and Equity One Inc have announced a merger. The deal was completed on 03/02/2017. Under the terms of the agreement, each Equity One share was converted into 0.45 shares of newly issued Regency common stock. At the time of announcement, this was Regency's la..."
2016-11-17,ANDV US,WNR US,"On 11/17/2016, Tesoro Corp and Western Refining Inc announced an agreement whereby Tesoro will acquire Western for 0.435 stock per target share, with a 10% allowance for a cash option, at USD 37.30 per share. The deal was the second largest in the refining and marketing sector in 2016, follow..."
2021-04-19,WBS US,STL US,Webster Financial Corp acquired Sterling Bancorp/DE for USD 5887.24M. The transaction was announced on 4/19/2021 and completed on 2/1/2022.
2006-10-23,SITC US,ZZILR US,SITE Centers Corp acquired Inland Retail Real Estate Trust Inc for USD 5871.46M. The transaction was announced on 10/23/2006 and completed on 2/27/2007.
2020-02-18,BEN US,LM US,Franklin Resources Inc acquired Legg Mason Inc for USD 5856.67M. The transaction was announced on 2/18/2020 and completed on 8/3/2020.
2006-01-24,DIS US,PIXR US,Walt Disney Co/The acquired Pixar for USD 5838.22M. The transaction was announced on 1/24/2006 and completed on 5/8/2006.
2020-08-19,JNJ US,MNTA US,Johnson & Johnson acquired Momenta Pharmaceuticals Inc for USD 5825.99M. The transaction was announced on 8/19/2020 and completed on 10/2/2020.
2015-09-13,,SLH US,"On 09/13/2015, it was announced that Vista Equity Partners, Koch Industries Inc and Goldman Sachs entered a definitive agreement to acquire Solera Holdings Inc for USD 55.85 per share. As of the announcement date, this deal represents the largest transaction in the transactional software indu..."
2017-12-18,PENN US,PNK US,"On 10/16/2018, the transaction was completed. On 03/22/2018, Penn National Gaming gained approval by the Pennsylvania Gaming Control Board and the West Virginia Lottery Commission. Penn National Gaming Inc announced the acquisition of Pinnacle Entertainment Inc for USD 5,708.73M. The transact..."
2001-05-07,VLO US,UDS US,Valero Energy Corp acquired Ultramar Diamond Shamrock Corp for USD 5727.55M. The transaction was announced on 5/7/2001 and completed on 1/2/2002.
2007-07-17,PXP US,9895616Q US,"Plains Exploration & Production Co acquired Pogo Producing Co LLC for USD 5719.77M. The transaction was announced on 07/17/2007 and completed on 11/07/2007. As of the completion date, this was the largest acquisition no record by Plains Exloration & Production Co."
2020-11-24,FSK US,FSKR US,FS KKR Capital Corp acquired FS KKR Capital Corp II for USD 5718.13M. The transaction was announced on 11/24/2020 and completed on 6/17/2021.
2020-12-13,HBAN US,TCF US,Huntington Bancshares Inc/OH acquired TCF Financial Corp for USD 5717.89M. The transaction was announced on 12/13/2020 and completed on 6/10/2021.
2015-03-09,GLPI US,9876567D US,"On 04/29/2016, the transaction was completed. On 07/07/2015  the offer was increased to 0.85 per share for each share of Pinnacle implying enterprise value of USD 5,000.00M. On 03/09/2015, Pinnacle Entertainment Inc confirmed that its board of directors received the unsolicited proposal from ..."
2009-04-20,ORCL US,1920486D US,"Oracle Corp acquired Oracle America Inc for USD 5,708.40M. The transaction was announced on 04/20/2009 and completed on 01/27/2010. Oracle planned to save money by streamlining how Sun built and supplied products. Upon completion, Oracle Corp announced it would boost product-development spend..."
2019-12-17,,TGE US,A consortium led by GIC Pte Ltd acquired Tallgrass Energy LP for USD 5691.86M. The transaction was announced on 12/17/2019 and completed on 4/17/2020.
2006-10-06,CCI US,2279928Q US,Crown Castle Inc acquired Global Signal Inc for USD 5685.02M. The transaction was announced on 10/6/2006 and completed on 1/16/2007.
2018-05-02,NLY US,MTGE US,"Annaly Capital Management Inc announced the acquisition of MTGE Investment Corp for USD 5,662.77M. The transaction was announced on 05/02/2018 and completed on 09/10/2018. At the time of announcement, it was the largest acquisition for the acquirer on record."
2018-03-20,CRM US,MULE US,"Salesforce.com Inc announced the acquisition of MuleSoft Inc for USD5,667.38M. The  transaction was announced on 03/20/2018 and is expected to be completed by 07/31/2018."
2013-10-10,1793839D US,PVR US,"Regency Energy Partners LP announced the acquisition of PVR Partners LP for USD 5628.54M. The transaction was announced on 10/10/2013 and is expected to be completed by 03/24/2014. As of the announcement date, this is the largest transaction announced in the pipelines industry year-to-date.  ..."
2007-02-19,9210611D US,XMSR US,"Sirius XM Holdings Inc acquired XM Satellite Radio Holdings Inc for USD 5,663.65M. The transaction was announced on 02/19/2007 and completed on 07/30/2008. As of completion date, this was the third largest acquisition in the radio industry and the largest deal since 10/04/1999."
2007-05-20,HOLX US,3122066Q US,"Hologic Inc acquired Cytyc Corp for USD 5,657.65M. The transaction was announced on 05/20/2007 and completed on 10/23/2007. Before acquiring Cytic, Hologic Inc had acquired BioLucent in September 2007 for approximately USD 70.00 M."
1999-08-11,AA US,1621582D US,Alcoa Corp acquired Reynolds Metals Co LLC for USD 5642.09M. The transaction was announced on 8/11/1999 and completed on 5/4/2000.
2021-03-15,,STAY US,A consortium led by Blackstone Inc acquired Extended Stay America Inc for USD 5632.25M. The transaction was announced on 3/15/2021 and completed on 6/17/2021.
2015-09-08,BX US,BEE US,Blackstone Inc acquired Strategic Hotels & Resorts Inc for USD 5631.85M. The transaction was announced on 9/8/2015 and completed on 12/11/2015.
2006-06-30,,0231874D US,A consortium led by Blackstone Inc acquired Michaels Stores Inc/Old for USD 5627.83M. The transaction was announced on 6/30/2006 and completed on 11/1/2006.
2005-06-06,WAMUQ US,PVN US,Washington Mutual Inc acquired Providian Financial Corp for USD 5626.82M. The transaction was announced on 6/6/2005 and completed on 10/3/2005.
1998-05-11,BKR US,WAI US,Baker Hughes Co acquired Western Atlas Inc for USD 5620.06M. The transaction was announced on 5/11/1998 and completed on 8/11/1998.
2012-08-20,AET US,CVH US,"Aetna Inc acquired Coventry Health Care Inc for USD 5,590.60M. The transaction was announced on 08/20/2012 and completed on 05/07/2013. This acquisition substantially increases the Medicaid footprint of Aetna Inc by creating more opportunity to participate in the expansion of Medicaid and to ..."
2007-06-28,,ALSN US,"Motors Liquidation Co sold Allison Transmission Holdings Inc to a consortium led by The Carlyle Group LP for USD 5575.00M. The transaction was announced on 06/28/2007 and completed on 08/07/2007. As of the announcement date, this was the second largest deal completed in the auto parts industr..."
2018-01-11,SSNC US,DST US,"SS&C Technologies Holdings Inc acquired DST Systems Inc for USD 5,562.60M. The transaction was announced on 01/11/2018 and completed on 04/17/2018.  At the time of announcement, this is SS&C Technologies' largest acquisition on record. On 01/10/18, Reuters reported that SS&C Technologies Hold..."
2007-06-20,,JNC US,"A consortium led by Bank of America Corp acquired Nuveen Investments Inc for USD 5562.13M. The transaction was announced on 06/20/2007 and completed on 11/14/2007. As of the completion date, this was the  fifth largest private equity buyout in the diversified financial services industry year ..."
2014-11-03,9980328D US,CVD US,"Laboratory Corp of America Holdings announced the acquisition of Covance Inc for USD 5,559.16 on 11/03/2014. The transaction was completed on 02/19/2015. At the time of announcement, this is the largest acquisition of a company in the Medical Labs & Testing Services sector year-to-date."
1995-08-03,UNP US,197906Q US,Union Pacific Corp acquired Southern Pacific Rail Corp for USD 5555.90M. The transaction was announced on 8/3/1995 and completed on 9/12/1996.
2021-04-15,KIM US,WRI US,Kimco Realty Corp acquired Weingarten Realty Investors for USD 5555.52M. The transaction was announced on 4/15/2021 and completed on 8/4/2021.
2016-11-02,AVGO US,BRCD US,"Broadcom Ltd acquired Brocade Communications Systems Inc for USD 5,551.41M. On 11/02/2016 Broadcom announced the acquisition of Brocade Communications, marking its largest acquisition on record, at the time of announcement. Brocade Communications Systems Inc is in advanced talks to be acquire..."
2019-07-16,PLD US,IDDP US,"Prologis Inc announced that it has signed a definitive merger agreement to acquire Industrial Property Trust Inc. The transaction was announced on 07/16/2019 and is currently pending. On 07/15/2019, it was reported that Black Creek Group LLC was planning to sell Industrial Property Trust/Blac..."
2009-08-31,BKR US,1524867D US,"Baker Hughes Inc acquired BJ Services Co for USD 5527.77M. The transaction was announced on 08/31/2009 and completed on 04/29/2010. As of the announcement date, this was Baker Hughes largest acquisition since it acquired Western Atlas in 1998."
2018-06-18,WPC US,CPPY US,"On 11/02/2018, the transaction is completed. On 06/18/2018, WP Carey Inc announced the acquisition of Corporate Property Associates 17 - Global Incorporated in an all-stock transaction at 0.160 WP Carey shares per share. This is the largest acquisition to date for WP Carey Inc."
2007-05-18,MSFT US,AQNT US,"Microsoft Corp acquired aQuantive Inc for USD 5,460.65M. The transaction was announced on 05/18/2007 and completed on 08/13/2007. As of the completion date, this was the largest deal completed in the technology industry year to date."
