Announce Date,Acquirer Ticker,Target Ticker,Deal Description
2003-10-27,BAC US,FBF US,Bank of America Corp acquired FleetBoston Financial Corp for USD 48099.66M. The transaction was announced on 10/27/2003 and completed on 4/1/2004.
2009-03-09,MRK US,SGP US,"Merck & Co Inc acquired Schering-Plough Corp/Pre-merger with Merck & Co Inc for USD 47,147.32M. The transaction was announced on 03/09/2009 and completed on 11/04/2009. As of the annoucement date, this transaction makes Merck & Co Inc the second largest drugmaker in the world."
2014-06-15,MDT US,COV US,"Medtronic Inc announced the acquisition of Covidien PLC for USD 46,235.92M. The transaction was announced on 06/15/2014 and was completed on 01/27/2015, after being approved by the Irish High Court. At the time of announcement, the deal is the largest ever for Medtronic. The new entity will b..."
1999-06-14,0772031D US,USW US,Qwest Communications International Inc acquired US West Inc for USD 44747.97M. The transaction was announced on 6/14/1999 and completed on 6/30/2000.
2000-10-16,CVX US,677004Q US,Chevron Corp acquired Texaco Inc for USD 43623.25M. The transaction was announced on 10/16/2000 and completed on 10/10/2001.
2020-11-30,SPGI US,2499073D US,S&P Global Inc acquired IHS Markit Ltd for USD 43598.58M. The transaction was announced on 11/30/2020 and completed on 2/28/2022.
2004-12-15,0848680D US,NXTL US,Sprint Communications Inc acquired Nextel Communications Inc for USD 41412.59M. The transaction was announced on 12/15/2004 and completed on 8/15/2005.
2009-12-14,XOM US,XTO US,"Exxon Mobil Corp acquired XTO Energy Inc for USD 41,366.82M. The transaction was announced on 12/14/2009 and completed on 06/28/2010. This is the largest acquisition by Exxon since the Mobil Corp acquisition in 1999."
2019-03-18,FIS US,WP US,Fidelity National Information Services Inc acquired Worldpay Inc for USD 41054.83M. The transaction was announced on 3/18/2019 and completed on 7/31/2019.
2008-09-15,BAC US,MER US,Bank of America Corp acquired Merrill Lynch & Co Inc for USD 40452.30M. The transaction was announced on 09/15/2008 and completed on 01/02/2009. This is the largest deal announced year to date in the financials sector and the third largest for 2008.
1998-06-24,653707Q US,TCOMA US,AT&T Corp acquired Comcast Cable Holdings LLC for USD 40135.75M. The transaction was announced on 6/24/1998 and completed on 3/10/1999.
2019-01-16,FISV US,FDC US,Fiserv Inc acquired First Data Corp for USD 38170.65M. The transaction was announced on 1/16/2019 and completed on 7/29/2019.
2011-10-16,KMI US,1996074D US,"Kinder Morgan Inc/DE acquired El Paso LLC for USD 37,572.46M. The transaction was announced on 10/16/2011 and completed on 05/25/2012. As of completion, this is the largest deal in the pipeline industry. The transaction will create the fourth largest energy company in North America with an en..."
2000-07-10,VIAV US,SDLI US,Viavi Solutions Inc acquired SDL Inc for USD 36203.48M. The transaction was announced on 7/10/2000 and completed on 2/14/2001.
2005-12-12,COP US,929530Q US,ConocoPhillips acquired Burlington Resources Inc for USD 36089.18M. The transaction was announced on 12/12/2005 and completed on 4/3/2006.
1997-10-01,WCOEQ US,0598884D US,WorldCom Inc - WorldCom Group acquired MCI Communications Corp for USD 36071.34M. The transaction was announced on 10/1/1997 and completed on 9/15/1998.
2009-11-03,BRK/A US,BNI US,Berkshire Hathaway Inc acquired Burlington Northern Santa Fe LLC for USD 35767.00M. The transaction was announced on 11/03/2009 and completed on 02/16/2010. This is the biggest acquisition by Berkshire Hathaway as of the announcement date.
2015-08-10,BRK/A US,PCP US,"On 08/10/2015, Berkshire Hathaway Inc announced the acquisition of Precision Castparts Corp for USD 235.00 per share, for a total valuation of USD 35,657.61M. The transaction was completed on 02/01/2016. Previously, on 08/08/2015, It was reported by the Wall Street Journal that Berkshire Hath..."
2005-06-30,BAC US,KRB US,Bank of America Corp acquired MBNA Corp for USD 35365.99M. The transaction was announced on 6/30/2005 and completed on 1/3/2006.
2000-01-18,VIAV US,0623818D US,Viavi Solutions Inc acquired E-Tek Dynamics Inc for USD 35161.70M. The transaction was announced on 1/18/2000 and completed on 7/3/2000.
2011-07-21,ESRX US,MHS US,"Express Scripts Holding Co acquired Medco Health Solutions Inc for USD 34,321.55M. The transaction was announced on 07/21/2011 and completed on 04/02/2012. The acquisition will help lower costs of prescription medicines for American families and provide benefits to businesses in a globally co..."
1999-09-07,PARA US,667517Q US,Paramount Global acquired CBS Corp/Old for USD 34104.03M. The transaction was announced on 9/7/1999 and completed on 5/4/2000.
2006-11-20,BX US,EOP US,Blackstone Inc acquired Equity Office Properties Trust for USD 34102.30M. The transaction was announced on 11/20/2006 and completed on 2/12/2007.
2020-10-27,AMD US,XLNX US,Advanced Micro Devices Inc acquired Xilinx Inc for USD 34092.30M. The transaction was announced on 10/27/2020 and completed on 2/15/2022.
2014-10-26,WPZ US,9123456D US,"On 10/26/2014, Williams Co., Williams Partners and Access agreed that WP and Access would merge for USD 33,875.89M by WP acquiring Access, whereupon Williams Co, which is the general partner of both and would be the majority owner of the merged partnership, would acquire 100% of the merged bu..."
2016-10-31,LUMN US,LVLT US,"On 10/31/2016, CenturyLink Inc announced the acquisition of Level 3 Communication Inc for USD 26.50 per share in cash and 1.4286 per share in CenturyLink's stock for a total value of USD 33,500.20M. At announcement, this was the largest acquisition for CenturyLink. The transaction was complet..."
2000-09-13,JPM US,3277Q US,JPMorgan Chase & Co acquired JP Morgan & Co Inc for USD 33469.53M. The transaction was announced on 9/13/2000 and completed on 1/2/2001.
2006-07-24,,3605818Q US,"A consortium led by Bain Capital acquired HCA Inc for USD 32,193.46M. The transaction was announced on 07/24/2006 and completed on 11/20/2006. As of announcement this is the largest PE buyout on record."
2018-10-28,IBM US,RHT US,"International Business Machines Corp announced the acquisition of Red Hat Inc for USD 31,802.52M. The transaction was announced on 10/28/2018. At the time of the announcement, this is IBM's largest acquisition on record."
1998-06-08,WFC US,2223Q US,Wells Fargo & Co acquired Wells Fargo & Co/Old for USD 30730.64M. The transaction was announced on 6/8/1998 and completed on 11/3/1998.
2010-03-08,,BPYU US,A consortium led by Brookfield Asset Management Inc acquired General Growth Properties Inc for USD 30713.63M. The transaction was announced on 03/08/2010 and completed on 08/19/2010. This equity investment is to finance General Growth's exit from bankruptcy.
2000-09-06,C US,ASFZ US,Citigroup Inc acquired Associates First Capital Corp for USD 30294.29M. The transaction was announced on 9/6/2000 and completed on 12/1/2000.
2016-04-28,ABT US,STJ US,"On 04/28/2016, Abbott Laboratories & St Jude Medical Inc announced a definitive agreement for Abbott to acquire St Jude's for USD 46.75 in cash and 0.8708 Abbott shares for each St Jude's share, reaching a total transaction value of USD 30,108.18M at announcement. The transaction was complete..."
2019-11-25,SCHW US,1981718D US,Charles Schwab Corp/The acquired TD Ameritrade Holding Corp for USD 29577.86M. The transaction was announced on 11/25/2019 and completed on 10/6/2020.
1998-04-13,3621240Q US,2428Q US,Bank One Corp acquired First Chicago NBD Corp for USD 29573.09M. The transaction was announced on 4/13/1998 and completed on 10/2/1998.
2017-09-05,RTX US,COL US,"On 09/05/2017, United Technologies Corp and Rockwell Collins Inc announced that they had reached a definitive agreement under which UTC would acquire Rockwell Collins for USD 140.00 per share. The transaction was completed on 11/27/2018. United Technologies Corp was weighing a potential acqui..."
2018-04-30,MPC US,ANDV US,"On 04/30/2018, Marathon Petroleum Corp announced an agreement to acquire Andeavor in a USD 152.27 per share in cash or 1.87 Marathon's shares per Andeavor share, for a total consideration of USD 30,464.96M. The combined company is expected to have a refining capacity of over 3 million barrels..."
2021-12-20,ORCL US,CERN US,Oracle Corp acquired Cerner Corp for USD 29005.19M. The transaction was announced on 12/20/2021 and completed on 6/9/2022.
2015-07-01,CB US,9876566D US,"On 07/01/2015, it was announced that ACE Ltd agreed to acquire The Chubb Corp, with the approval of both companies' boards of directors. Under the terms of the cash & stock transaction Chubb shareholders will receive USD 62.93 and 0.6019 ACE shares for each target share. The deal is the large..."
2016-01-25,JCI US,1436513D US,"On 01/25/2016, Tyco International PLC and Johnson Controls Inc announced an agreement to combine into Johnson Controls PLC, domiciled in Ireland. After Tyco effects a 0.9550:1 reverse stock split Johnson Controls shareholders will be eligible to 1 share in the combined company or USD 34.88 in..."
2019-06-24,CZR US,1816375D US,Caesars Entertainment Inc acquired Caesars Holdings Inc for USD 28500.36M. The transaction was announced on 6/24/2019 and completed on 7/21/2020.
2019-02-07,TFC US,2370058D US,Truist Financial Corp acquired SunTrust Banks Inc for USD 27894.88M. The transaction was announced on 2/7/2019 and completed on 12/9/2019.
2013-02-14,,HNZ US,"A consortium led by Berkshire Hathaway Inc acquired HJ Heinz Co for USD 27403.30M. The transaction was announced on 02/14/2013 and completed on 06/10/2013. HJ Heinz delisted from the New York Stock Exchange. As of the annoucement date, this is the largest buyout since 2007."
2007-04-02,,FDC US,A consortium led by KKR Group Co Inc acquired First Data Corp for USD 27497.13M. The transaction was announced on 4/2/2007 and completed on 9/25/2007.
2006-05-29,,4621824Q US,"Kinder Morgan Inc announced on 08/28/2006 that it has signed a definitive  merger agreement with the consortium of investors to be acquired for USD 27,449.73M and the transaction closed on 05/31/2007. On 05/29/2006, Kinder Morgan Inc announced that a consortium led by The Carlyle Group and Go..."
2006-10-02,,HET US,A consortium led by Management Group acquired Caesars Entertainment Corp/Old for USD 27159.94M. The transaction was announced on 10/2/2006 and completed on 1/28/2008.
2007-05-21,,3692470Q US,"A consortium led by Goldman Sachs Capital Partners acquired Alltel Corp for USD 27,149.00M. The transaction was announced on 05/21/2007 and completed on 11/19/2007. As of the completion date, this was the third largest deal completed in the telecommunications industry year to date."
2014-07-15,RAI US,LO US,"On 07/15/2014, Reynolds American Inc entered in an agreement to acquire Lorillard Inc. Pressure exerted by public health campaigns and falling demand are forcing the tobacco industry into consolidation. This deal is the fourth largest acquisition in the tobacco sector on record at the time of..."
2022-06-13,PLD US,DRE US,Prologis Inc acquired Duke Realty Corp for USD 26315.78M. The transaction was announced on 6/13/2022 and completed on 10/3/2022.
2007-07-03,,0910150D US,"A consortium led by Blackstone Group LP acquired Hilton Worldwide Inc for USD 26235.42M. The transaction was announced on 07/03/2007 and completed on 10/25/2007. As of the announcement date, this was the largest deal completed in the lodging industry year to date."
2001-11-18,8375930Q US,COC US,ConocoPhillips Co acquired ConocoPhillips Holding Co for USD 25813.03M. The transaction was announced on 11/18/2001 and completed on 9/3/2002.
2020-12-01,CRM US,WORK US,Salesforce Inc acquired Slack Technologies Inc for USD 25765.81M. The transaction was announced on 12/1/2020 and completed on 7/21/2021.
2011-01-10,DUK US,0961514D US,"Duke Energy Corp acquired Progress Energy Inc for USD 25531.04M. The transaction was announced on 01/10/2011 and completed on 07/03/2012. Upon completion, the combined company was the largest utility company in the United States. As of announcement, this was the second largest takeover of a u..."
2001-09-04,HPQ US,680884Q US,HP Inc acquired Compaq Computer Corp for USD 25320.59M. The transaction was announced on 9/4/2001 and completed on 5/6/2002.
2005-12-05,BSX US,GDT US,Boston Scientific Corp acquired Guidant LLC for USD 25227.95M. The transaction was announced on 12/5/2005 and completed on 4/24/2006.
1999-12-19,748957Q US,285939Q US,Pharmacia LLC acquired Pharmacia & Upjohn Inc for USD 25195.58M. The transaction was announced on 12/19/1999 and completed on 4/3/2000.
2019-05-28,GPN US,TSS US,"On 05/28/2019, it was announced that Global Payments Inc reached a definitive agreement with Total Systems Services Inc, to combine in an all-stock merger. Total Systems shareholders will receive 0.8101 Global payments shares for every share held. The transaction is expected to close in the f..."
2006-05-07,1255173D US,GDW US,Wachovia Corp acquired Golden West Financial Corp for USD 24602.87M. The transaction was announced on 5/7/2006 and completed on 10/2/2006.
2016-06-13,MSFT US,LNKD US,"Microsoft Corp announced the acquisition of LinkedIn Corp for USD 196.00 per share, equating to a transaction value of USD 24,379.90M. The transaction was announced on 06/13/2016 and was completed on 12/08/2016. The deal is the largest transaction in technology sector 2016YTD  and is most exp..."
2017-04-23,BDX US,BCR US,"On 04/23/2017, Becton Dickinson announced to buy C.R. Bard at USD 222.93 in cash and 0.5077 shares of BD stock for every Bard share held. The deal was completed on 12/29/2017. This is the largest deal Becton Dickinson was involved in at the time of announcement."
2001-04-03,AIG US,950967Q US,American International Group Inc acquired AIG Life Holdings Inc for USD 22989.14M. The transaction was announced on 4/3/2001 and completed on 8/29/2001.
2006-11-19,FCX US,1704453D US,Freeport-McMoRan Inc acquired Freeport-McMoRan Corp for USD 22908.21M. The transaction was announced on 11/19/2006 and completed on 3/20/2007.
2005-01-31,T US,653707Q US,AT&T Inc acquired AT&T Corp for USD 22332.17M. The transaction was announced on 1/31/2005 and completed on 11/21/2005.
2010-04-22,LUMN US,0772031D US,"CenturyLink Inc acquired Qwest Communications International Inc for USD 22,161.55M. The transaction was announced on 04/22/2010 and completed on 04/01/2011. The deal was the third largest acquisition in the telecom industry to be completed in 2011 and was second largest announced in this same..."
2019-08-13,PARA US,VIAB US,Paramount Global acquired Viacom Inc for USD 21943.45M. The transaction was announced on 8/13/2019 and completed on 12/5/2019.
2000-10-04,USB US,3346Q US,US Bancorp acquired US Bancorp/Old for USD 21868.00M. The transaction was announced on 10/4/2000 and completed on 2/27/2001.
2006-11-01,CVS US,CMX US,CVS Health Corp acquired Caremark Rx Inc for USD 21694.79M. The transaction was announced on 11/1/2006 and completed on 3/22/2007.
