config,config_name,model,n_features,Accuracy_mean,Accuracy_std,AUC_ROC_mean,AUC_ROC_std,F1_mean,F1_std,Precision_mean,Recall_mean
M1,Financial Only,logreg,56,0.5129205872661371,0.01982614287417578,0.5143583110814419,0.019508967717352808,0.4781548800203977,0.026115579748885894,0.45205760708444565,0.5079365079365079
M1,Financial Only,xgboost,56,0.5282905576099294,0.023676267094552488,0.5407710048583295,0.012771565592240389,0.47289737117312836,0.031409292530720515,0.46479977394136107,0.4817460317460317
M1,Financial Only,mlp,56,0.5157104675429283,0.009166446365397467,0.5303681915393365,0.03062236231494391,0.4701160933063619,0.09175998951445119,0.44861778096525706,0.5142857142857142
M2,Financial + Text,logreg,184,0.50873149538071,0.009402278185134548,0.5006888428398358,0.01726651428030032,0.46176142574446066,0.019449037298679722,0.44576890995740187,0.4801587301587301
M2,Financial + Text,xgboost,184,0.5293358473986747,0.018953951733133762,0.5288878921895861,0.027247023316265093,0.4763095193986701,0.02749323755950815,0.4661714900175175,0.48730158730158735
M2,Financial + Text,mlp,184,0.4972040176228658,0.028806834800733656,0.5047829127107748,0.025630820924678208,0.4868614734667262,0.08652033181273198,0.4453049731784075,0.5761904761904761
M3,Financial + Text + Graph,logreg,248,0.5143234601349784,0.016679973095781345,0.5163708942169807,0.024942849307542852,0.4681846874407632,0.03458759872296912,0.4507525406139905,0.48809523809523814
M3,Financial + Text + Graph,xgboost,248,0.5478441279488401,0.013091294020095174,0.5655054385785986,0.0202316803046147,0.4898748065079275,0.023358977445581366,0.4859993738924341,0.49444444444444446
M3,Financial + Text + Graph,mlp,248,0.5300351480979753,0.01833704489123074,0.5442928070761015,0.034550198424786294,0.5213252993611921,0.029104287793760054,0.4717598624988829,0.5833333333333333
