config,config_name,n_features,AUC_baseline,AUC_tuned_mean,AUC_tuned_std,AUC_delta,Acc_mean,F1_mean,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_gamma
M1,Financial Only,56,0.541,0.5351187385650003,0.023492766770425,-0.005881261434999785,0.5251467555132476,0.48146178369703574,397,3,0.02214655798336126,22,0.5140598136201725,0.953512248479805,1.9142809716288802,0.04470065817876758,0.28045905208115873
M2,Financial + Text,184,0.529,0.5251609553478713,0.024729917312187235,-0.003839044652128698,0.5104901206995447,0.47287472617554627,145,7,0.01264467999123856,34,0.6975039891447471,0.7437082406396208,0.004218923888499468,0.7107123352065631,0.9703008327500328
M3,Financial + Text + Graph,248,0.566,0.5555392065964496,0.023489973012278648,-0.010460793403550328,0.5363209216612359,0.4924354305512577,184,4,0.021496339004802432,47,0.5006200445592832,0.32810534747032366,0.0013225136876429521,0.21845973822500905,1.3163168731516663
