config,model,n_features,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,Huber_mean
M1,mlp,56,0.001043760213690459,0.009810125610614546,0.09374714660460748,0.003758237194590015,0.06799979675114312,0.002892256184699694,0.008802651843316567,0.004401325921658284
M2,mlp,184,-0.026350635072109975,0.019278389468515966,0.09500896767362735,0.0035759794373758365,0.06923369390099779,0.00312837484381857,0.009039491567344904,0.004519745783672452
M3,mlp,248,-0.016591888298588597,0.02241884975792118,0.09457740383019965,0.004171449239537764,0.06877537572032733,0.003150344571853209,0.008962286304018702,0.004481143152009351
