config,config_desc,n_features,AUC_mean,AUC_std,Acc_mean,F1_mean
M1,Financial Only,56,0.5418298240246254,0.01653726002697206,0.5321281685156031,0.4771519185400905
M1e,Financial + Engineered,69,0.5357374338624339,0.01644416773360426,0.5300278255775638,0.47399565283587686
M3,Fin + Text + Graph,248,0.5598492588883943,0.01987911887918955,0.5436532054333101,0.48768344049388146
M3e,Fin + Text + Graph + Engineered,261,0.5584639163946992,0.016420582279770123,0.5509830483652474,0.49212400168929804
