config,model,n_features,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,Huber_mean
M1,ridge,56,-0.00848520665631689,0.020335709516779484,0.09419577666218751,0.004008398054076151,0.06852532776162464,0.003017020161112886,0.008888911595952629,0.004444455797976314
M1,elasticnet,56,-0.0009595043711163598,0.001055929476998821,0.09383912514082746,0.0036633552018430797,0.06788106513649841,0.002773398815471033,0.008819201578530746,0.004409600789265373
M2,ridge,184,-0.15478106060552968,0.12849935848737049,0.10058883589046452,0.0056127928237314165,0.07296863002790212,0.0030111246461116486,0.010149617349080937,0.005074808674540469
M2,elasticnet,184,-0.0009595043711163598,0.001055929476998821,0.09383912514082746,0.0036633552018430797,0.06788106513649841,0.002773398815471033,0.008819201578530746,0.004409600789265373
M3,ridge,248,-0.1638935568366186,0.1206241285717587,0.10101083783949436,0.0054510778546917535,0.07388134559076635,0.0031806479934461916,0.010232903610814536,0.005116451805407268
M3,elasticnet,248,-0.0009595043711163598,0.001055929476998821,0.09383912514082746,0.0036633552018430797,0.06788106513649841,0.002773398815471033,0.008819201578530746,0.004409600789265373
