config,model,n_features,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,Huber_mean
M1,xgboost,56,-0.06610026879228488,0.018828483245579297,0.09682604044386464,0.0034786064375011898,0.07143830485535843,0.002745820351794482,0.009387382810783934,0.004693691405391967
M2,xgboost,184,-0.0770330052300892,0.02891804782515055,0.09730353318749425,0.003263267787857937,0.07168709776263678,0.002726132875201246,0.009478626487425066,0.004739313243712533
M3,xgboost,248,-0.058014584518872606,0.025193170489629987,0.09647135497823245,0.003988153324675277,0.07053893282892745,0.0030560000421175812,0.009322627698277254,0.004661313849138627
